5,100
1,101
3,102
5,103
6,104
3,105
7,106
7,107
5,108
1,109
1,110
7,111
6,112
8,113
7,114
7,115
4,116
2,117
8,118
4,119
6,120
6,121
4,122
1,123
1,124
6,125
8,126
4,127
1,128
2,129
1,130
3,131
1,132
2,133
8,134
8,135
8,136
2,137
2,138
7,139
6,140
4,141
6,142
6,143
3,144
1,145
4,146
7,147
4,148
6,149
7,150
5,151
7,152
6,153
7,154
2,155
1,156
7,157
8,158
3,159
3,160
3,161
2,162
4,163
8,164
3,165
4,166
3,167
3,168
1,169
5,170
4,171
5,172
4,173
6,174
7,175
3,176
5,177
2,178
1,179
2,180
3,181
3,182
7,183
2,184
5,185
6,186
7,187
8,188
1,189
5,190
4,191
7,192
6,193
8,194
3,195
4,196
8,197
8,198
8,199
4,200
2,201
1,202
6,203
5,204
5,205
6,206
2,207
7,208
3,209
7,210
5,211
5,212
1,213
2,214
5,215
5,216
8,217
3,218
1,219
5,220
6,221
5,222
2,223
1,224
4,225
4,226
4,227
8,228
8,229
8,230
4,231
4,232
2,233
2,234
4,235
5,236
4,237
2,238
4,239
3,240
4,241
6,242
1,243
1,244
7,245
3,246
2,247
3,248
5,249
2,250
8,251
8,252
6,253
8,254
7,255
6,256
2,257
4,258
1,259
4,260
2,261
7,262
7,263
1,264
2,265
2,266
4,267
5,268
2,269
2,270
4,271
5,272
4,273
1,274
3,275
1,276
7,277
8,278
7,279
8,280
1,281
4,282
4,283
6,284
6,285
5,286
2,287
4,288
7,289
4,290
3,291
6,292
4,293
4,294
3,295
6,296
4,297
6,298
7,299
8,300
7,301
6,302
6,303
8,304
4,305
3,306
4,307
8,308
3,309
2,310
2,311
7,312
1,313
6,314
6,315
3,316
6,317
8,318
8,319
1,320
4,321
5,322
7,323
2,324
2,325
3,326
2,327
7,328
2,329
2,330
1,331
1,332
6,333
5,334
1,335
8,336
2,337
3,338
3,339
1,340
7,341
3,342
6,343
7,344
1,345
5,346
7,347
7,348
8,349
